Ghost_Name,Algorithm,Search_Time(s),Expanded_Nodes,Memory_Usage(MB),Ghost_Pos_X,Ghost_Pos_Y,Pacman_Pos_X,Pacman_Pos_Y
PinkGhost,DFS,0.035818,442,0.082336,26,3,16,15
OrangeGhost,UCS,0.009752,277,0.027784,5,29,16,15
RedGhost,A*,0.000000,37,0.017456,24,29,16,15
BlueGhost,BFS,0.008922,231,0.026080,2,4,16,15
PinkGhost,DFS,0.036742,439,0.082336,26,3,17,15
OrangeGhost,UCS,0.007296,255,0.026488,5,29,17,15
BlueGhost,BFS,0.008175,250,0.027320,3,4,17,15
RedGhost,A*,0.000000,32,0.015944,24,28,17,15
PinkGhost,DFS,0.036742,439,0.082336,26,4,17,15
OrangeGhost,UCS,0.007296,255,0.026488,6,29,17,15
BlueGhost,BFS,0.008006,256,0.027432,3,4,17,15
RedGhost,A*,0.000000,32,0.015944,24,28,17,15
PinkGhost,DFS,0.036742,439,0.082336,26,4,17,15
OrangeGhost,UCS,0.007296,255,0.026488,6,29,17,15
BlueGhost,BFS,0.008006,256,0.027432,3,4,17,15
RedGhost,A*,0.000000,32,0.015944,24,28,17,15
PinkGhost,DFS,0.041520,489,0.082272,26,4,18,15
BlueGhost,BFS,0.008006,256,0.027432,3,4,18,15
RedGhost,A*,0.000000,22,0.010464,24,27,18,15
OrangeGhost,UCS,0.006677,227,0.024472,7,29,18,15
PinkGhost,DFS,0.001338,69,0.021072,26,5,19,15
BlueGhost,BFS,0.008678,273,0.028032,4,4,19,15
RedGhost,A*,0.000000,18,0.009344,24,27,19,15
OrangeGhost,UCS,0.003491,198,0.022656,7,29,19,15
PinkGhost,DFS,0.001338,69,0.021072,26,5,19,15
BlueGhost,BFS,0.007694,289,0.028872,4,4,19,15
RedGhost,A*,0.000000,18,0.009344,24,27,19,15
OrangeGhost,UCS,0.003491,198,0.022656,7,29,19,15
PinkGhost,DFS,0.001338,69,0.021072,27,5,19,15
BlueGhost,BFS,0.007694,289,0.028872,5,4,19,15
RedGhost,A*,0.000000,18,0.009344,24,26,19,15
OrangeGhost,UCS,0.003491,198,0.022656,8,29,19,15
PinkGhost,DFS,0.001338,69,0.021072,27,5,19,15
BlueGhost,BFS,0.007694,289,0.028872,5,4,19,15
RedGhost,A*,0.000000,18,0.009344,24,26,19,15
OrangeGhost,UCS,0.003491,198,0.022656,8,29,19,15
PinkGhost,DFS,0.001338,69,0.021072,27,5,19,15
BlueGhost,BFS,0.007694,289,0.028872,5,4,19,15
